id,title,overview,tmdbId,vote_average,vote_count,genres,adult,release_date,production_companies,poster_path
150663,#Horror,"Inspired by actual events, a group of 12 year old girls face a night of horror when the compulsive addiction of an online social media game turns a moment of cyber bullying into a night of insanity.",301325,3.4,53.0,"18,9648,27,53",false,2015-11-20,"[{'name': 'AST Studios', 'id': 75277}, {'name': 'Lowland Pictures', 'id': 75278}]",posters\150663.jpg
79946,$5 a Day,"After being released from jail, the son of a con man joins his father on the road.",4204,6.0,24.0,"18,35",false,2008-01-01,"[{'name': 'New Line Cinema', 'id': 12}]",posters\79946.jpg
5667,...All the Marbles,A two-bit promoter tries to take a women's wrestling team to the top.,30709,7.3,7.0,"28,35,18,10749",false,1981-10-16,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",posters\5667.jpg
127837,1 - Nenokkadine,Gautham is a rock star suffering from a mental disorder due to which he loses grip over reality. But he's convinced his parents were murdered by three men and his only goal is revenge.,249772,5.8,13.0,"28,35,10749",false,2014-01-10,"[{'name': '14 Reels Entertainment', 'id': 44072}]",posters\127837.jpg
110403,"10,000 km","Two people in love, two apartments - one in Barcelona and another on in Los Angeles - and the images of their past, present and future. Can love survive 10,000km?",253251,6.3,33.0,"35,18,10749",false,2014-05-16,"[{'name': 'Televisión Española (TVE)', 'id': 6639}, {'name': 'Televisió de Catalunya (TV3)', 'id': 8530}, {'name': 'La Panda', 'id': 17727}, {'name': 'Broad Green Pictures', 'id': 49389}]",posters\110403.jpg
147748,100 Ghost Street: The Return of Richard Speck,"A group of paranormal investigators sojourned to the Chicago walk-up where deranged drifter Richard Speck systematically slew eight student nurses back in ’66, looking for restless spirits. Their unfortunate success gets shockingly documented in this fear-filled found-footage foray featuring a bright young cast.",122326,4.8,8.0,27,false,2012-07-24,"[{'name': 'Asylum', 'id': 6306}]",posters\147748.jpg
102340,100 years of evil,"Did Adolf Hitler survive WWII and live on under an assumed identity? Norwegian researcher Skule Antonsen sides with Spanish documentary filmmaker Idelfonso Elizalde to follow in the footsteps of Adolf Munchenhauser, a Hitler look alike captured by the Allied forces in Berlin 1945. When Munchenhauser is released from Camp Rebecca in 1946, a secret prison camp in the Nevada Desert, he decides to stay in the U.S. Skule digs into Munchenhausers life and hears a lot of stories, but none of them reveal his real identity. Is it possible that Adolf Munchenhuser really was Adolf Hitler? As Skule digs deeper for the truth it becomes clear that there are powerful forces that will do anything to stop him.",97562,5.5,1.0,"",false,2010-01-01,[],posters\102340.jpg
173495,101 Rent Boys,"Paid 50 dollars for their time, 101 male prostitutes -- spanning all ages, ethnicities, and personal backgrounds -- are questioned by the filmmakers about their lives.",49491,7.0,2.0,99,false,2000-06-07,[],posters\173495.jpg
104540,102 Minutes That Changed America,"The morning of September 11, 2001 is shown through multiple video cameras in and around New York City, from the moment the first WTC tower is hit until after both towers collapse.",36130,7.0,12.0,99,false,2008-01-01,[],posters\104540.jpg
90019,11 x 14,"65 shots making up a cryptically alluded-to narrative: a lesbian couple's Midwest travels, a hitchhiking young man's journeys, the story of a man who may be having an affair.",138535,7.0,1.0,99,false,1977-04-16,[],posters\90019.jpg
170046,11:55,"Upon his return home, a U.S. Marine must face up to the consequences of a shameful tragedy that has defined his past before he runs out of time.",394770,5.0,6.0,"18,80",false,2017-06-09,[],posters\170046.jpg
1185,12 Angry Men,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",389,8.2,2130.0,18,false,1957-03-25,"[{'name': 'United Artists', 'id': 60}, {'name': 'Orion-Nova Productions', 'id': 10212}]",posters\1185.jpg
148424,12 Gifts of Christmas,"When Anna Parisi, an unemployed fine arts painter, is unable to make ends meet, she is hired to become a personal Christmas shopper for Marc, an uptight corporate exec.  As they begin working together, Marc learns that Christmas giving has less to do with the amount of money spent and more to do with the importance of the gift, while Anna discovers she might find success as an artist in a way she never expected.  The best gift of all of course is the love they discover with one another.",363483,5.8,20.0,"10751,10770",false,2015-11-26,[],posters\148424.jpg
141450,12 Rounds 3: Lockdown,"Lockdown Follows a police officer who returns to duty after recovering from a gun shot wound to discover incriminating evidence of illegal activities against those closest to him. He quickly finds himself trapped inside his own precinct, hunted and in search of the truth, as the crooked cops stop at nothing to recover the evidence.",351901,4.6,41.0,"28,53",false,2015-09-11,"[{'name': 'WWE Studios', 'id': 10339}]",posters\141450.jpg
170495,125 Years Memory,"125 Years Memory (海難1890 Kainan ) is a 2015 drama film directed by Mitsutoshi Tanaka (ja) and written by Eriko Komatsu (ja).A Japanese-Turkish co-production, the film was released in Japan by Toei on December 5, 2015 and in Turkey by Mars on December 25, 2015. It received ten nominations at the 39th Japan Academy Prize, winning the awards for Best Art Direction and Best Sound Recording.",402455,8.3,3.0,18,false,2015-12-05,"[{'name': 'Toei', 'id': 5822}]",posters\170495.jpg
127669,12:01 PM,"Kurtwood Smith plays Myron Castleman, an everyman who keeps repeating the same hour of his life, from 12:01 PM to 1:00 PM.",30647,5.8,6.0,878,false,1990-01-01,[],posters\127669.jpg
7388,13 Going on 30,"After total humiliation at her thirteenth birthday party, Jenna Rink wants to just hide until she's thirty. With a little magic, her wish is granted, but it turns out that being thirty isn't as always as awesome as she thought it would be!",10096,6.3,1260.0,"35,14,10749",false,2004-04-13,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Revolution Studios', 'id': 497}, {'name': 'Thirteen Productions', 'id': 19636}]",posters\7388.jpg
139976,16 Wishes,"The story about Abby Jensen, a girl who's been eager to reach her 16th birthday and has kept a secret wish list since she was a little girl. When the Big Day actually arrives, utter disaster strikes, leaving Abby to think her birthday is ruined. But when a mysterious box of magical birthday candles arrives to turn things around, Abby's 16 Wishes start to come true. Her day gets better and better...until she makes one wish that threatens to change everything.",40205,5.5,283.0,"14,18,10751",false,2010-06-25,"[{'name': 'Disney Channel', 'id': 3213}, {'name': 'Marvista Entertainment', 'id': 6679}]",posters\139976.jpg
36426,16 Years of Alcohol,"16 Years of Alcohol is a 2003 drama film written and directed by Richard Jobson, based on his 1987 novel. The film is Jobson's first directorial effort, following a career as a television presenter on BSkyB and VH-1, and as the vocalist for the 1970s punk rock band The Skids.",29656,6.8,8.0,"80,18",false,2003-08-14,"[{'name': 'Tartan Works Ltd.', 'id': 75045}]",posters\36426.jpg
5434,1776,"The film focuses on the representatives of the Thirteen original colonies who participated in the Second Continental Congress. 1776 depicts the three months of deliberation (and, oftentimes, acrimonious debate) that led up to the signing of one of the most important documents in the History of the United States, the Declaration of Independence.",14902,7.1,20.0,"18,35,36,10402",false,1972-11-09,"[{'name': 'Columbia Pictures Corporation', 'id': 441}]",posters\5434.jpg
107404,18 Years Old and Rising,"Primo is an ordinary middle-class youngster studying for his baccalaureate, who gets side-tracked when he falls in love with a rich girl. They soon learn they have to deal with her condescending friends who look down upon this upstart.",91052,5.1,18.0,35,false,2011-07-20,"[{'name': 'Les Films de Pierre', 'id': 58568}]",posters\107404.jpg
134700,1920,"The year is 1920 and the house isolated in the wilderness has a secret. It is waiting for the curse to come true. For years, everyone who has bought the house and tried to pull it down has died of mysterious circumstances. It is like the house has a will and a life of its own.",19951,5.4,7.0,27,false,2008-09-12,"[{'name': 'ASA Film Pvt Ltd', 'id': 3690}]",posters\134700.jpg
133501,1942: A Love Story,"In 1942 the British ruled India, a time when people were either working for the British or rallying for underground meetings and protests against them. Amidst this background, Naren Singh, falls in love with Rajeshwari Pathak. But their romance is not an easy one, for Naren comes from a wealthy, British supporting, family. But Rajeshwari is poor and is fighting against the British.",33124,4.6,5.0,"28,18,10749",false,1994-04-15,"[{'name': 'Vidhu Vinod Chopra Productions', 'id': 3781}]",posters\133501.jpg
142548,2,"On 24 November 2006 Papaioannou premiered 2 in Pallas Theater in Athens, his first work following his creative direction of the Opening and Closing Ceremonies of the Athens 2004 Olympic Games. 2 was produced in collaboration with the electronic music composer K.BHTA for the production company Elliniki Theamaton. A \"dissection of the male psyche\", the production commanded a large of amount of Greek press attention, not least for its open references to homosexuality. 2 proved a commercial success; its run was extended twice and over 100,000 tickets were sold in total. The work seems to draw upon a range of influences, including the work of Jean Genet, Rene Magritte and Robert Wilson. Inspiration for the show also came partly from Papaioannou's experiences as a gay man in Greece. Contemporary magazine described 2 as an \"inspiring\" work that \"captures the zeitgeist\".",307276,0.0,0.0,18,false,2007-12-11,[],posters\142548.jpg
99741,2 Become 1,"Bingo leads a carefree city life that revolves around work, friends and dating. Her yuppie life is turned upside down one passionate night when her hot date Dr. V discovers a lump on her left breast.",271504,6.0,1.0,"10749,35",false,2006-01-01,"[{'name': 'Milky Way Image Company', 'id': 5632}]",posters\99741.jpg
988,2 Days in the Valley,"In a sleepy bedroom community of LA's San Fernando Valley, the murder of a professional athlete by two hit men sets into motion a chain of events that puts the mundane lives of a dozen residents on a collision course. This clever tale tells the story of two hit men, a mistress, a nurse, a vindictive ex-wife, a wealthy art dealer and his lovelorn assistant, a suicidal writer and his dog, and a bitter cop and his partner.",9401,5.9,73.0,"35,80",false,1996-09-11,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}, {'name': 'Rysher Entertainment', 'id': 11661}, {'name': 'Redemption Productions', 'id': 19529}]",posters\988.jpg
139014,2 Young,"A young boy from a working-class family and a bored young girl from a rich family are falling in love. Soon, she's pregnant and the teenagers have to escape from their disapproving parents.",59444,7.3,3.0,"18,10749",false,2005-04-28,"[{'name': 'Sil-Metropole Organisation', 'id': 5686}, {'name': 'Film Unlimited', 'id': 28013}]",posters\139014.jpg
1148,2 or 3 Things I Know About Her,The story of a housewife who must work the streets to earn an extra living - and who becomes the starting point for a larger socio-political essay.,8074,7.0,33.0,"35,18",false,1967-03-17,"[{'name': 'Les Films du Carrosse', 'id': 53}, {'name': 'Argos Films', 'id': 6116}, {'name': 'Anouchka Films', 'id': 14679}, {'name': 'Parc Film', 'id': 14680}]",posters\1148.jpg
110167,20 Ft Below: The Darkness Descending,"Below the streets of New York is a dark and dangerous world hidden in the shadows of abandoned subway tunnels and miles of forgotten infrastructure. When a young documentary filmmaker goes into these tunnels to uncover the unseen stories of the people living below our feet, she finds out that there is more to be afraid of than the dark. A mysterious figure, living beyond the reach of the law, has declared war on the outside world that threatens to tear apart the fragile underground society living in the tunnels and maybe even the city above it.",259879,2.0,12.0,53,false,2014-03-18,"[{'name': 'Odyssey Motion Pictures', 'id': 3835}]",posters\110167.jpg
86762,20 Seconds of Joy,"Traces the story of an extreme athlete, past and present; but also explores the psychology behind life, death, risk and the confrontation of fear.",45033,8.0,1.0,99,false,2012-01-01,[],posters\86762.jpg
113045,"20,000 Days on Earth",A semi-fictionalized documentary about a day in the life of Australian musician Nick Cave's persona.,246400,7.0,73.0,"99,18,10402",false,2014-07-05,"[{'name': 'British Film Institute (BFI)', 'id': 7281}, {'name': 'Film4', 'id': 9349}, {'name': 'Corniche Pictures', 'id': 20273}]",posters\113045.jpg
2282,2010,"This is a sequel to 2001 A Space Odyssey. It is now 2010 and both the Americans and the Russians are racing to get to Jupiter to investigate the black monolith (similar to the one found in Lunar Crater Clavius) which was found by the U.S.S. Discovery in orbit around Jupiter's moons. The U.S.S. Discovery's orbit is rapidly decaying and it will crash into IO but the Americans cannot get there in time to save U.S.S. Discovery. The Russians can get to Jupiter in time but only the Americans have the knowledge to access and awaken the U.S.S. Discovery's H.A.L.9000 sentient computer. This forces a joint American-Soviet space expedition against a backdrop of growing global tensions. The combined expedition is seeking answers to several mysteries. What is the significance of the black monolith? Why did H.A.L.9000 act so bizarrely and terminate 4 of 5 of the U.S.S. Discovery's crew? What happened to David Bowman? Along the way, curious data is detected  ...",4437,6.6,290.0,"53,878",false,1984-12-06,"[{'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",posters\2282.jpg
172753,2012 Doomsday,"On December 21, 2012 four strangers on a journey of faith are drawn to an ancient temple in the heart of Mexico. For the Mayans it is the last recorded day. For NASA scientists it is a cataclysmic polar shift. For the rest of us, it is Doomsday.",16266,2.3,32.0,"12,28,14,27,878,53",false,2008-02-12,[],posters\172753.jpg
96413,2016: Obama's America,"2016: Obama's America takes audiences on a gripping visual journey into the heart of the worlds most powerful office to reveal the struggle of whether one man's past will redefine America over the next four years. The film examines the question, \"If Obama wins a second term, where will we be in 2016?\"  Across the globe and in America, people in 2008 hungered for a leader who would unite and lift us from economic turmoil and war. True to Americas ideals, they invested their hope in a new kind of president, Barack Obama. What they didn't know is that Obama is a man with a past, and in powerful ways that past defines him--who he is, how he thinks, and where he intends to take America and the world. Immersed in exotic locales across four continents, best selling author Dinesh DSouza races against time to find answers to Obama's past and reveal where America will be in 2016.",126509,4.6,19.0,99,false,2012-07-13,[],posters\96413.jpg
112950,2081,"2081 depicts a dystopian future in which, thanks to the 212th Amendment to the Constitution and the unceasing vigilance of the United States Handicapper General, everyone is \"finally equal....\" The strong wear weights, the beautiful wear masks and the intelligent wear earpieces that fire off loud noises to keep them from taking unfair advantage.",35568,7.2,20.0,"28,878,53",false,2009-05-29,[],posters\112950.jpg
58295,21,"Ben Campbell is a young, highly intelligent, student at M.I.T. in Boston who strives to succeed. Wanting a scholarship to transfer to Harvard School of Medicine with the desire to become a doctor, Ben learns that he cannot afford the $300,000 for the four to five years of schooling as he comes from a poor, working-class background. But one evening, Ben is introduced by his unorthodox math professor Micky Rosa into a small but secretive club of five. Students Jill, Choi, Kianna, and Fisher, who are being trained by Professor Rosa of the skill of card counting at blackjack.",8065,6.5,1406.0,"18,80",false,2008-03-27,"[{'name': 'Columbia Pictures', 'id': 5}, {'name': 'Relativity Media', 'id': 7295}]",posters\58295.jpg
159714,21 Days,"Three filmmakers embark on a paranormal challenge by barricading themselves in a house so haunted, no one has been able to live in for more than 21 days.",341957,4.7,3.0,"53,27",false,2014-01-01,"[{'name': 'Nopal Army', 'id': 54224}, {'name': 'Tortilla Flats Productions', 'id': 54225}]",posters\159714.jpg
6912,21 Grams,"This is the story of three gentle persons: Paul Rivers an ailing mathematician lovelessly married to an English émigré, Christina Peck, an upper-middle-class suburban housewife, happily married and mother of two little girls, and Jack Jordan, an ex-convict who has found in his Christian faith the strength to raise a family. They will be brought together by a terrible accident that will change their lives. By the final frame, none of them will be the same as they will learn harsh truths about love, faith, courage, desire and guilt, and how chance can change our worlds irretrievably, forever.",470,7.2,943.0,"18,80,53",false,2003-09-06,"[{'name': 'This Is That Productions', 'id': 10059}, {'name': 'Y Productions', 'id': 10887}, {'name': 'Mediana Productions Filmgesellschaft', 'id': 10888}]",posters\6912.jpg
105450,24 Hours On Craigslist,"24 Hours on Craigslist is a 2005 American feature-length documentary that captures the people and stories behind a single day's posts on the community-focused, classified website Craigslist. The film, made with the approval of Craigslist's founder Craig Newmark, is woven from interviews with the site's users, all of whom opted in to be contacted by the production when they submitted their posts on August 4, 2003. The documentary screened in nine film festivals during 2004 and 2005, winning a 'best feature documentary', and played in a limited, self-distributed, theatrical release in 2005 and 2006. The film was released on DVD on April 25, 2006",56579,0.0,0.0,99,false,2006-01-19,"[{'name': 'Yerba Buena Productions Inc.', 'id': 6761}]",posters\105450.jpg
3501,28 Days,"After getting into a car accident while drunk on the day of her sister's wedding, Gwen Cummings is given a choice between prison or a rehab center. She chooses rehab, but is extremely resistant to taking part in any of the treatment programs they have to offer, refusing to admit that she has an alcohol addiction.",10468,6.0,210.0,"35,18",false,2000-04-06,"[{'name': 'Columbia Pictures', 'id': 5}]",posters\3501.jpg
144638,3 Avengers,"(1964) Alan Steel, Lisa Gastoni, Mimmo Palmara, Rosalba Neri. Steel and his sword-wielding pals run head-on into the forces of a cruel tyrant. There's a bit more intentional comedy than usual in this sword and sandal opus. All the usual court intrigue comes into play as the bad guys are eventually subdued. If you like lots of sword fighting, this ones for you. Color, 16mm.",296491,0.0,0.0,"",false,1964-11-26,[],posters\144638.jpg
87988,3 Backyards,The story of three people from the same suburban town during the course of one curious autumn day.,68412,4.8,4.0,18,false,2010-01-01,"[{'name': 'Caruso / Mendelsohn Productions', 'id': 64857}]",posters\87988.jpg
25882,3 Godfathers,"Three outlaws on the run discover a dying woman and her baby. They swear to bring the infant to safety across the desert, even at the risk of their own lives.",29244,6.1,39.0,"28,18,37",false,1948-12-01,"[{'name': 'Argosy Pictures', 'id': 1281}, {'name': 'Metro-Goldwyn-Mayer (MGM)', 'id': 8411}]",posters\25882.jpg
